time	V(vout)	V(n001)	V(n012)	V(n013)
0.000000000000000e+000	3.995959e+000	1.000000e-001	1.000000e-001	3.681750e+000
4.464285766455794e-010	3.995959e+000	9.999107e-002	9.999554e-002	3.681750e+000
8.928571532911587e-010	3.995959e+000	9.998214e-002	9.999107e-002	3.681750e+000
1.339285729936738e-009	3.995959e+000	9.997321e-002	9.998661e-002	3.681750e+000
1.785714306582317e-009	3.995959e+000	9.996428e-002	9.998215e-002	3.681750e+000
2.232142883227897e-009	3.995959e+000	9.995535e-002	9.997768e-002	3.681750e+000
2.678571459873476e-009	3.995959e+000	9.994643e-002	9.997321e-002	3.681750e+000
3.125000036519054e-009	3.995959e+000	9.993750e-002	9.996875e-002	3.681750e+000
6.250000073038109e-009	3.995959e+000	9.987500e-002	9.993750e-002	3.681750e+000
1.250000014607622e-008	3.995959e+000	9.975000e-002	9.987500e-002	3.681754e+000
2.500000029215244e-008	3.995959e+000	9.950000e-002	9.975000e-002	3.681784e+000
5.000000058430487e-008	3.995959e+000	9.900000e-002	9.950000e-002	3.681939e+000
1.000000011686097e-007	3.995959e+000	9.800000e-002	9.900000e-002	3.682534e+000
1.638961356266291e-007	3.995959e+000	9.672207e-002	9.836104e-002	3.683856e+000
2.557152359358972e-007	3.995959e+000	9.488569e-002	9.744285e-002	3.687131e+000
4.074626737171159e-007	3.995959e+000	9.185075e-002	9.592538e-002	3.695727e+000
5.663968114220157e-007	3.995959e+000	8.867206e-002	9.433603e-002	3.710039e+000
8.842650868318153e-007	3.995959e+000	8.231470e-002	9.115735e-002	3.749401e+000
1.000000000000000e-006	3.995959e+000	8.000000e-002	9.000000e-002	3.766577e+000
1.023365791945585e-006	3.995959e+000	7.953268e-002	8.976634e-002	3.770306e+000
1.070097375836756e-006	3.995959e+000	7.859805e-002	8.929902e-002	3.777189e+000
1.163560543619098e-006	3.995959e+000	7.672879e-002	8.836439e-002	3.788054e+000
1.350486879183781e-006	3.995959e+000	7.299026e-002	8.649513e-002	3.800310e+000
1.724339550313147e-006	3.995959e+000	6.551321e-002	8.275660e-002	3.807420e+000
2.000000000000000e-006	3.995959e+000	6.000000e-002	8.000000e-002	3.805469e+000
2.060121862934557e-006	3.995959e+000	5.879756e-002	7.939878e-002	3.804346e+000
2.180365588803672e-006	3.995959e+000	5.639269e-002	7.819635e-002	3.802056e+000
2.420853040541901e-006	3.995959e+000	5.158294e-002	7.579147e-002	3.797026e+000
2.901827944018359e-006	3.995959e+000	4.196344e-002	7.098172e-002	3.785732e+000
3.000000000000000e-006	3.995959e+000	4.000000e-002	7.000000e-002	3.783155e+000
3.096194980695291e-006	3.995959e+000	3.807610e-002	6.903805e-002	3.779960e+000
3.288584942085875e-006	3.995959e+000	3.422830e-002	6.711415e-002	3.771921e+000
3.673364864867041e-006	3.995959e+000	2.653270e-002	6.326635e-002	3.749468e+000
4.000000000000000e-006	3.995959e+000	2.000000e-002	6.000000e-002	3.724863e+000
4.076955984556234e-006	3.995959e+000	1.846088e-002	5.923044e-002	3.716882e+000
4.230867953668700e-006	3.995959e+000	1.538264e-002	5.769132e-002	3.699640e+000
4.538691891893633e-006	3.995959e+000	9.226162e-003	5.461308e-002	3.660003e+000
5.000000000000000e-006	3.995959e+000	0.000000e+000	5.000000e-002	3.593510e+000
5.061564787644986e-006	3.995959e+000	-1.231296e-003	4.938435e-002	3.583134e+000
5.184694362934959e-006	3.995959e+000	-3.693887e-003	4.815306e-002	3.561741e+000
5.430953513514906e-006	3.995959e+000	-8.619070e-003	4.569047e-002	3.515971e+000
5.923471814674800e-006	3.995959e+000	-1.846944e-002	4.076528e-002	3.418414e+000
5.999999999999999e-006	3.995959e+000	-2.000000e-002	4.000000e-002	3.402472e+000
6.098503660231978e-006	3.995959e+000	-2.197007e-002	3.901496e-002	3.380600e+000
6.295510980695936e-006	3.995959e+000	-2.591022e-002	3.704489e-002	3.335624e+000
6.689525621623851e-006	3.995959e+000	-3.379051e-002	3.310474e-002	3.241771e+000
7.000000000000000e-006	3.995959e+000	-4.000000e-002	3.000000e-002	3.165047e+000
7.078802928185583e-006	3.995959e+000	-4.157606e-002	2.921197e-002	3.144531e+000
7.236408784556748e-006	3.995959e+000	-4.472817e-002	2.763591e-002	3.102880e+000
7.551620497299081e-006	3.995959e+000	-5.103241e-002	2.448379e-002	3.017140e+000
8.000000000000000e-006	3.995959e+000	-6.000000e-002	2.000000e-002	2.891998e+000
8.063042342548466e-006	3.995959e+000	-6.126085e-002	1.936958e-002	2.873699e+000
8.189127027645398e-006	3.995959e+000	-6.378254e-002	1.810873e-002	2.836791e+000
8.441296397839264e-006	3.995959e+000	-6.882593e-002	1.558704e-002	2.761539e+000
8.945635138226995e-006	3.995959e+000	-7.891271e-002	1.054365e-002	2.608212e+000
9.000000000000000e-006	3.995959e+000	-8.000000e-002	1.000000e-002	2.591430e+000
9.100000000000001e-006	3.995959e+000	-8.200000e-002	9.000000e-003	2.559946e+000
9.300000000000001e-006	3.995959e+000	-8.600000e-002	7.000000e-003	2.496488e+000
9.600000000000000e-006	3.995959e+000	-9.200000e-002	4.000000e-003	2.399948e+000
9.999999999999999e-006	3.995959e+000	-1.000000e-001	0.000000e+000	2.269600e+000
1.004000000000000e-005	3.995959e+000	-1.000000e-001	-4.000000e-004	2.256367e+000
1.012000000000000e-005	3.995959e+000	-1.000000e-001	-1.200000e-003	2.229952e+000
1.026306168644581e-005	3.995959e+000	-1.000000e-001	-2.630617e-003	2.182955e+000
1.039601849528808e-005	3.995959e+000	-1.000000e-001	-3.960185e-003	2.139680e+000
1.053722904230646e-005	3.995959e+000	-1.000000e-001	-5.372290e-003	2.094427e+000
1.081965013634321e-005	3.995959e+000	-1.000000e-001	-8.196501e-003	2.005458e+000
1.100000000000000e-005	3.995959e+000	-1.000000e-001	-1.000000e-002	1.949438e+000
