time	V(vout)	V(n001)	V(n012)	V(n013)
0.000000000000000e+000	3.995959e+000	1.000000e-001	1.000000e-001	3.681750e+000
4.464285766455794e-010	3.995959e+000	9.999107e-002	9.999554e-002	3.681750e+000
8.928571532911587e-010	3.995959e+000	9.998214e-002	9.999107e-002	3.681750e+000
1.339285729936738e-009	3.995959e+000	9.997321e-002	9.998661e-002	3.681750e+000
1.785714306582317e-009	3.995959e+000	9.996428e-002	9.998215e-002	3.681750e+000
2.232142883227897e-009	3.995959e+000	9.995535e-002	9.997768e-002	3.681750e+000
2.678571459873476e-009	3.995959e+000	9.994643e-002	9.997321e-002	3.681750e+000
3.125000036519054e-009	3.995959e+000	9.993750e-002	9.996875e-002	3.681750e+000
6.250000073038109e-009	3.995959e+000	9.987500e-002	9.993750e-002	3.681750e+000
1.250000014607622e-008	3.995959e+000	9.975000e-002	9.987500e-002	3.681754e+000
2.500000029215244e-008	3.995959e+000	9.950000e-002	9.975000e-002	3.681783e+000
5.000000058430487e-008	3.995959e+000	9.900000e-002	9.950000e-002	3.681935e+000
1.000000011686097e-007	3.995959e+000	9.800000e-002	9.900000e-002	3.682519e+000
1.638964913152332e-007	3.995959e+000	9.672207e-002	9.836104e-002	3.683814e+000
2.557160279754592e-007	3.995959e+000	9.488568e-002	9.744284e-002	3.687018e+000
4.074646435054197e-007	3.995959e+000	9.185071e-002	9.592535e-002	3.695424e+000
5.663998508873409e-007	3.995959e+000	8.867200e-002	9.433600e-002	3.709416e+000
8.842702656511832e-007	3.995959e+000	8.231460e-002	9.115729e-002	3.747951e+000
1.000000000000000e-006	3.995959e+000	8.000000e-002	9.000000e-002	3.764825e+000
1.023806862684640e-006	3.995959e+000	7.952386e-002	8.976193e-002	3.768609e+000
1.071420588053920e-006	3.995959e+000	7.857159e-002	8.928579e-002	3.775617e+000
1.166648038792479e-006	3.995959e+000	7.666704e-002	8.833352e-002	3.786740e+000
1.357102940269599e-006	3.995959e+000	7.285794e-002	8.642897e-002	3.799357e+000
1.738012743223837e-006	3.995959e+000	6.523974e-002	8.261988e-002	3.806855e+000
2.000000000000000e-006	3.995959e+000	6.000000e-002	8.000000e-002	3.805112e+000
2.061602562269307e-006	3.995959e+000	5.876795e-002	7.938398e-002	3.803975e+000
2.184807686807921e-006	3.995959e+000	5.630385e-002	7.815193e-002	3.801653e+000
2.431217935885150e-006	3.995959e+000	5.137564e-002	7.568782e-002	3.796524e+000
2.924038434039607e-006	3.995959e+000	4.151923e-002	7.075962e-002	3.784983e+000
3.000000000000000e-006	3.995959e+000	4.000000e-002	7.000000e-002	3.782992e+000
3.098564099630891e-006	3.995959e+000	3.802872e-002	6.901436e-002	3.779738e+000
3.295692298892674e-006	3.995959e+000	3.408615e-002	6.704307e-002	3.771503e+000
3.689948697416240e-006	3.995959e+000	2.620103e-002	6.310051e-002	3.748569e+000
4.000000000000000e-006	3.995959e+000	2.000000e-002	6.000000e-002	3.725337e+000
4.078851279704713e-006	3.995959e+000	1.842297e-002	5.921149e-002	3.717238e+000
4.236553839114140e-006	3.995959e+000	1.526892e-002	5.763446e-002	3.699715e+000
4.551958957932992e-006	3.995959e+000	8.960821e-003	5.448041e-002	3.659452e+000
5.000000000000000e-006	3.995959e+000	0.000000e+000	5.000000e-002	3.595459e+000
5.063081023763770e-006	3.995959e+000	-1.261620e-003	4.936919e-002	3.584938e+000
5.189243071291311e-006	3.995959e+000	-3.784861e-003	4.810757e-002	3.563229e+000
5.441567166346394e-006	3.995959e+000	-8.831344e-003	4.558433e-002	3.516713e+000
5.946215356456559e-006	3.995959e+000	-1.892431e-002	4.053785e-002	3.417583e+000
5.999999999999999e-006	3.995959e+000	-2.000000e-002	4.000000e-002	3.406475e+000
6.099999999999999e-006	3.995959e+000	-2.200000e-002	3.900000e-002	3.384490e+000
6.299999999999999e-006	3.995959e+000	-2.600000e-002	3.700000e-002	3.339256e+000
6.699999999999999e-006	3.995959e+000	-3.400000e-002	3.300000e-002	3.244853e+000
7.000000000000000e-006	3.995959e+000	-4.000000e-002	3.000000e-002	3.171390e+000
7.080000000000000e-006	3.995959e+000	-4.160000e-002	2.920000e-002	3.150753e+000
7.240000000000000e-006	3.995959e+000	-4.480000e-002	2.760000e-002	3.108843e+000
7.560000000000001e-006	3.995959e+000	-5.120000e-002	2.440000e-002	3.022554e+000
8.000000000000000e-006	3.995959e+000	-6.000000e-002	2.000000e-002	2.900795e+000
8.063999999999999e-006	3.995959e+000	-6.128000e-002	1.936000e-002	2.882374e+000
8.191999999999999e-006	3.995959e+000	-6.384000e-002	1.808000e-002	2.845212e+000
8.447999999999999e-006	3.995959e+000	-6.896000e-002	1.552000e-002	2.769409e+000
8.959999999999999e-006	3.995959e+000	-7.920000e-002	1.040000e-002	2.614936e+000
9.000000000000000e-006	3.995959e+000	-8.000000e-002	1.000000e-002	2.602681e+000
9.080000000000003e-006	3.995959e+000	-8.160000e-002	9.200000e-003	2.577729e+000
9.240000000000008e-006	3.995959e+000	-8.480000e-002	7.600000e-003	2.527444e+000
9.560000000000019e-006	3.995959e+000	-9.120000e-002	4.400000e-003	2.425406e+000
9.999999999999999e-006	3.995959e+000	-1.000000e-001	0.000000e+000	2.283251e+000
1.003946313689045e-005	3.995959e+000	-1.000000e-001	-3.946314e-004	2.270286e+000
1.011838941067134e-005	3.995959e+000	-1.000000e-001	-1.183894e-003	2.244407e+000
1.026911870299512e-005	3.995959e+000	-1.000000e-001	-2.691187e-003	2.195260e+000
1.042072791683462e-005	3.995959e+000	-1.000000e-001	-4.207279e-003	2.146309e+000
1.055859084673411e-005	3.995959e+000	-1.000000e-001	-5.585908e-003	2.102502e+000
1.083431670653307e-005	3.995959e+000	-1.000000e-001	-8.343167e-003	2.016373e+000
1.100000000000000e-005	3.995959e+000	-1.000000e-001	-1.000000e-002	1.965317e+000
