time	V(vout)	V(n001)	V(n012)	V(n013)
0.000000000000000e+000	3.995959e+000	1.000000e-001	1.000000e-001	3.681750e+000
4.464285766455794e-010	3.995959e+000	9.999107e-002	9.999554e-002	3.681750e+000
8.928571532911587e-010	3.995959e+000	9.998214e-002	9.999107e-002	3.681750e+000
1.339285729936738e-009	3.995959e+000	9.997321e-002	9.998661e-002	3.681750e+000
1.785714306582317e-009	3.995959e+000	9.996428e-002	9.998215e-002	3.681750e+000
2.232142883227897e-009	3.995959e+000	9.995535e-002	9.997768e-002	3.681750e+000
2.678571459873476e-009	3.995959e+000	9.994643e-002	9.997321e-002	3.681750e+000
3.125000036519054e-009	3.995959e+000	9.993750e-002	9.996875e-002	3.681750e+000
6.250000073038109e-009	3.995959e+000	9.987500e-002	9.993750e-002	3.681750e+000
1.250000014607622e-008	3.995959e+000	9.975000e-002	9.987500e-002	3.681754e+000
2.500000029215244e-008	3.995959e+000	9.950000e-002	9.975000e-002	3.681782e+000
5.000000058430487e-008	3.995959e+000	9.900000e-002	9.950000e-002	3.681931e+000
1.000000011686097e-007	3.995959e+000	9.800000e-002	9.900000e-002	3.682501e+000
1.638969181548849e-007	3.995959e+000	9.672206e-002	9.836103e-002	3.683763e+000
2.557169784504620e-007	3.995959e+000	9.488566e-002	9.744283e-002	3.686882e+000
4.074670072294994e-007	3.995959e+000	9.185066e-002	9.592533e-002	3.695060e+000
5.664034981765932e-007	3.995959e+000	8.867193e-002	9.433597e-002	3.708670e+000
8.842764800707808e-007	3.995959e+000	8.231447e-002	9.115724e-002	3.746202e+000
1.000000000000000e-006	3.995959e+000	8.000000e-002	9.000000e-002	3.762700e+000
1.024340859621538e-006	3.995959e+000	7.951318e-002	8.975659e-002	3.766539e+000
1.073022578864614e-006	3.995959e+000	7.853955e-002	8.926977e-002	3.773685e+000
1.170386017350766e-006	3.995959e+000	7.659228e-002	8.829614e-002	3.785112e+000
1.365112894323069e-006	3.995959e+000	7.269774e-002	8.634887e-002	3.798177e+000
1.754566648267676e-006	3.995959e+000	6.490867e-002	8.245433e-002	3.806187e+000
2.000000000000000e-006	3.995959e+000	6.000000e-002	8.000000e-002	3.804695e+000
2.063720640280849e-006	3.995959e+000	5.872559e-002	7.936279e-002	3.803537e+000
2.191161920842548e-006	3.995959e+000	5.617676e-002	7.808838e-002	3.801165e+000
2.446044481965946e-006	3.995959e+000	5.107911e-002	7.553955e-002	3.795884e+000
2.955809604212742e-006	3.995959e+000	4.088381e-002	7.044190e-002	3.783973e+000
3.000000000000000e-006	3.995959e+000	4.000000e-002	7.000000e-002	3.782816e+000
3.088380791574515e-006	3.995959e+000	3.823238e-002	6.911619e-002	3.779976e+000
3.265142374723546e-006	3.995959e+000	3.469715e-002	6.734858e-002	3.772994e+000
3.618665541021608e-006	3.995959e+000	2.762669e-002	6.381334e-002	3.753383e+000
4.000000000000000e-006	3.995959e+000	2.000000e-002	6.000000e-002	3.725949e+000
4.070704633259612e-006	3.995959e+000	1.858591e-002	5.929295e-002	3.718851e+000
4.212113899778837e-006	3.995959e+000	1.575772e-002	5.787886e-002	3.703596e+000
4.494932432817287e-006	3.995959e+000	1.010135e-002	5.505067e-002	3.668454e+000
5.000000000000000e-006	3.995959e+000	0.000000e+000	5.000000e-002	3.598045e+000
5.056563706607690e-006	3.995959e+000	-1.131274e-003	4.943436e-002	3.588771e+000
5.169691119823070e-006	3.995959e+000	-3.393822e-003	4.830309e-002	3.569689e+000
5.395945946253829e-006	3.995959e+000	-7.918919e-003	4.604054e-002	3.529032e+000
5.848455599115349e-006	3.995959e+000	-1.696911e-002	4.151544e-002	3.442226e+000
5.999999999999999e-006	3.995959e+000	-2.000000e-002	4.000000e-002	3.411592e+000
6.090501930572303e-006	3.995959e+000	-2.181004e-002	3.909498e-002	3.391999e+000
6.271505791716911e-006	3.995959e+000	-2.543011e-002	3.728494e-002	3.351778e+000
6.633513514006127e-006	3.995959e+000	-3.267027e-002	3.366486e-002	3.267773e+000
7.000000000000000e-006	3.995959e+000	-4.000000e-002	3.000000e-002	3.179452e+000
7.072401544457843e-006	3.995959e+000	-4.144803e-002	2.927599e-002	3.161019e+000
7.217204633373529e-006	3.995959e+000	-4.434409e-002	2.782795e-002	3.123628e+000
7.506810811204902e-006	3.995959e+000	-5.013622e-002	2.493189e-002	3.046610e+000
8.000000000000000e-006	3.995959e+000	-6.000000e-002	2.000000e-002	2.911931e+000
8.057921235566273e-006	3.995959e+000	-6.115843e-002	1.942079e-002	2.895449e+000
8.173763706698822e-006	3.995959e+000	-6.347527e-002	1.826236e-002	2.862221e+000
8.405448648963920e-006	3.995959e+000	-6.810898e-002	1.594551e-002	2.794540e+000
8.868818533494117e-006	3.995959e+000	-7.737637e-002	1.131182e-002	2.656542e+000
9.000000000000000e-006	3.995959e+000	-8.000000e-002	1.000000e-002	2.616843e+000
9.092673976906039e-006	3.995959e+000	-8.185348e-002	9.073260e-003	2.588183e+000
9.278021930718118e-006	3.995959e+000	-8.556044e-002	7.219781e-003	2.530356e+000
9.648717838342275e-006	3.995959e+000	-9.297436e-002	3.512822e-003	2.412998e+000
9.999999999999999e-006	3.995959e+000	-1.000000e-001	0.000000e+000	2.300324e+000
1.003512821616577e-005	3.995959e+000	-1.000000e-001	-3.512822e-004	2.288882e+000
1.010538464849732e-005	3.995959e+000	-1.000000e-001	-1.053846e-003	2.266032e+000
1.023927206678973e-005	3.995959e+000	-1.000000e-001	-2.392721e-003	2.222673e+000
1.036235111191226e-005	3.995959e+000	-1.000000e-001	-3.623511e-003	2.183142e+000
1.049686313085008e-005	3.995959e+000	-1.000000e-001	-4.968631e-003	2.140559e+000
1.076588716872573e-005	3.995959e+000	-1.000000e-001	-7.658872e-003	2.056892e+000
1.100000000000000e-005	3.995959e+000	-1.000000e-001	-1.000000e-002	1.985170e+000
